id,preferred_name,protein_size,annotation
9685.ENSFCAP00000027005,PRKD1,930,Serine/threonine-protein kinase; Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family.
9685.ENSFCAP00000027006,IRGQ,702,Immunity related GTPase Q.
9685.ENSFCAP00000027007,ENSFCAP00000027007,155,AP complex subunit sigma; Belongs to the adaptor complexes small subunit family.
9685.ENSFCAP00000027010,ENSFCAP00000027010,425,Uncharacterized protein.
9685.ENSFCAP00000027012,ENSFCAP00000027012,145,Uncharacterized protein.
9685.ENSFCAP00000027013,EVPL,2033,Envoplakin.
9685.ENSFCAP00000027018,ARHGAP12,846,Rho GTPase activating protein 12.
9685.ENSFCAP00000027022,LRTM1,345,Leucine rich repeats and transmembrane domains 1.
9685.ENSFCAP00000027030,CKS1B,79,Cyclin-dependent kinases regulatory subunit; Binds to the catalytic subunit of the cyclin dependent kinases and is essential for their biological function.
9685.ENSFCAP00000027035,ZNF471,754,Zinc finger protein 471.
9685.ENSFCAP00000027037,CACNB1,702,Calcium voltage-gated channel auxiliary subunit beta 1.
9685.ENSFCAP00000027039,PELI1,418,E3 ubiquitin-protein ligase pellino homolog; E3 ubiquitin ligase catalyzing the covalent attachment of ubiquitin moieties onto substrate proteins.
9685.ENSFCAP00000027042,SOD2,222,Superoxide dismutase; Destroys radicals which are normally produced within the cells and which are toxic to biological systems. Belongs to the iron/manganese superoxide dismutase family.
9685.ENSFCAP00000027044,MAK16,295,Protein MAK16 homolog; Belongs to the MAK16 family.
9685.ENSFCAP00000027047,BMI1,326,Polycomb complex protein BMI-1; Component of a Polycomb group (PcG) multiprotein PRC1-like complex, a complex class required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones; it mediates monoubiquitination of histone H2A 'Lys-119', rendering chromatin heritably changed in its expressibility. The complex composed of RNF2, UB2D3 and BMI1 binds nucleosomes, and has activity only with nucleosomal histone H2A. In the PRC1-like complex, regulates the E3 ub [...] 
9685.ENSFCAP00000027050,ENSFCAP00000027050,56,Uncharacterized protein.
9685.ENSFCAP00000027053,ZBTB32,487,Zinc finger and BTB domain containing 32.
9685.ENSFCAP00000027059,TTLL4,1235,Tubulin tyrosine ligase like 4.
9685.ENSFCAP00000027072,ENSFCAP00000027072,135,Ribosomal_L18A domain-containing protein.
9685.ENSFCAP00000027076,OGA,915,O-GlcNAcase.
9685.ENSFCAP00000027078,PRLR,624,Prolactin receptor; This is a receptor for the anterior pituitary hormone prolactin.
9685.ENSFCAP00000027080,PPFIBP1,1010,PPFIA binding protein 1.
9685.ENSFCAP00000027081,FOXJ3,622,Forkhead box J3.
9685.ENSFCAP00000027091,P2RY6,386,Pyrimidinergic receptor P2Y6.
9685.ENSFCAP00000027095,IL18,192,Interleukin-18; A proinflammatory cytokine primarily involved in polarized T- helper 1 (Th1) cell and natural killer (NK) cell immune responses. Upon binding to IL18R1 and IL18RAP, forms a signaling ternary complex which activates NF-kappa-B, triggering synthesis of inflammatory mediators. Synergizes with IL12/interleukin-12 to induce IFNG synthesis from T- helper 1 (Th1) cells and natural killer (NK) cells. Belongs to the IL-1 family.
9685.ENSFCAP00000027097,GNGT2,69,Guanine nucleotide-binding protein subunit gamma; Guanine nucleotide-binding proteins (G proteins) are involved as a modulator or transducer in various transmembrane signaling systems. The beta and gamma chains are required for the GTPase activity, for replacement of GDP by GTP, and for G protein-effector interaction.
9685.ENSFCAP00000027101,BET1L,111,Bet1 golgi vesicular membrane trafficking protein like.
9685.ENSFCAP00000027110,EFR3A,862,EFR3 homolog A.
9685.ENSFCAP00000027122,ENSFCAP00000027122,166,AP complex subunit sigma; Belongs to the adaptor complexes small subunit family.
9685.ENSFCAP00000027126,DRAM2,275,DNA damage regulated autophagy modulator 2.
9685.ENSFCAP00000027128,FCRL6,429,Fc receptor like 6.
9685.ENSFCAP00000027129,CHST9,443,Carbohydrate sulfotransferase.
9685.ENSFCAP00000027132,TNIP2,436,TNFAIP3 interacting protein 2.
9685.ENSFCAP00000027137,CELF2,541,CUGBP Elav-like family member 2.
9685.ENSFCAP00000027138,KIFAP3,793,Kinesin associated protein 3.
9685.ENSFCAP00000027139,TFB1M,345,rRNA adenine N(6)-methyltransferase; Belongs to the class I-like SAM-binding methyltransferase superfamily. rRNA adenine N(6)-methyltransferase family.
9685.ENSFCAP00000027143,IP6K1,441,Kinase; Belongs to the inositol phosphokinase (IPK) family.
9685.ENSFCAP00000027146,PPARD,464,Peroxisome proliferator activated receptor delta.
9685.ENSFCAP00000027155,GUCY2C,1073,Guanylate cyclase.
9685.ENSFCAP00000027156,ARHGEF12,1543,Rho guanine nucleotide exchange factor 12.
9685.ENSFCAP00000027165,MFN2,757,Mitofusin 2; Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin/Fzo/YdjA family.
9685.ENSFCAP00000027172,ENSFCAP00000027172,80,Histone_H2A_C domain-containing protein; Belongs to the histone H2A family.
9685.ENSFCAP00000027174,LOC102901462,71,Uncharacterized protein.
9685.ENSFCAP00000027186,MPDZ,2081,Multiple PDZ domain crumbs cell polarity complex component.
9685.ENSFCAP00000027203,CNDP1,515,Carnosine dipeptidase 1.
9685.ENSFCAP00000027204,ENSFCAP00000027204,119,Uncharacterized protein.
9685.ENSFCAP00000027211,LNPK,429,Lunapark, ER junction formation factor.
9685.ENSFCAP00000027212,ENSFCAP00000027212,108,Tr-type G domain-containing protein.
9685.ENSFCAP00000027221,JAG2,1609,Delta-like protein; Putative Notch ligand involved in the mediation of Notch signaling.
9685.ENSFCAP00000027235,SNCA,140,Alpha-synuclein; Belongs to the synuclein family.
9685.ENSFCAP00000027236,ENSFCAP00000027236,708,Uncharacterized protein.
9685.ENSFCAP00000027241,IGSF11,427,Immunoglobulin superfamily member 11.
9685.ENSFCAP00000027249,SULF1,1116,Sulfatase 1.
9685.ENSFCAP00000027253,PTGFR,366,Prostaglandin FP receptor; Belongs to the G-protein coupled receptor 1 family.
9685.ENSFCAP00000027257,PLA2G4A,749,Phospholipase A2.
9685.ENSFCAP00000027261,DTNA,770,Dystrobrevin alpha.
9685.ENSFCAP00000027265,SMC5,1103,Structural maintenance of chromosomes 5.
9685.ENSFCAP00000027267,ODF2L,607,Outer dense fiber of sperm tails 2 like.
9685.ENSFCAP00000027269,MLNR,400,Motilin receptor; Belongs to the G-protein coupled receptor 1 family.
9685.ENSFCAP00000027271,LOC102900869,148,Lysozyme C; Lysozymes have primarily a bacteriolytic function; those in tissues and body fluids are associated with the monocyte-macrophage system and enhance the activity of immunoagents; Belongs to the glycosyl hydrolase 22 family.
9685.ENSFCAP00000027286,SRCIN1,1219,SRC kinase signaling inhibitor 1.
9685.ENSFCAP00000027287,PITPNA,270,Phosphatidylinositol transfer protein alpha.
9685.ENSFCAP00000027291,ST8SIA5,412,ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5; Belongs to the glycosyltransferase 29 family.
9685.ENSFCAP00000027292,ENSFCAP00000027292,51,Uncharacterized protein.
9685.ENSFCAP00000027293,MOCS1,636,Molybdenum cofactor synthesis 1.
9685.ENSFCAP00000027295,TSSK3,268,Testis specific serine kinase 3.
9685.ENSFCAP00000027299,FGD2,656,FYVE, RhoGEF and PH domain containing 2.
9685.ENSFCAP00000027300,TNRC6B,1828,Trinucleotide repeat containing adaptor 6B.
9685.ENSFCAP00000027303,TLR5,890,Toll like receptor 5; Belongs to the Toll-like receptor family.
9685.ENSFCAP00000027304,ARID5B,1188,AT-rich interaction domain 5B.
9685.ENSFCAP00000027305,ENSFCAP00000027305,79,Uncharacterized protein.
9685.ENSFCAP00000027312,LOC101096371,263,Peptidase S1 domain-containing protein; Belongs to the peptidase S1 family.
9685.ENSFCAP00000027315,ENSFCAP00000027315,781,Uncharacterized protein.
9685.ENSFCAP00000027317,FAM163B,163,Family with sequence similarity 163 member B.
9685.ENSFCAP00000027321,DHX38,1239,DEAH-box helicase 38.
9685.ENSFCAP00000027324,KRT36,467,IF rod domain-containing protein; Belongs to the intermediate filament family.
9685.ENSFCAP00000027327,TJP1,2008,Tight junction protein 1; Belongs to the MAGUK family.
9685.ENSFCAP00000027328,ENSFCAP00000027328,103,Cytochrome c domain-containing protein; Belongs to the cytochrome c family.
9685.ENSFCAP00000027333,SCN10A,1957,Sodium channel protein; Mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+) ions may pass in accordance with their electrochemical gradient.
9685.ENSFCAP00000027345,PRRT1B,266,Proline rich transmembrane protein 1B.
9685.ENSFCAP00000027350,DOCK8,2101,Dedicator of cytokinesis 8; Belongs to the DOCK family.
9685.ENSFCAP00000027351,PIK3CB,1070,Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta; Belongs to the PI3/PI4-kinase family.
9685.ENSFCAP00000027368,ZC3H11A,816,Uncharacterized protein.
9685.ENSFCAP00000027370,TULP4,1549,TUB like protein 4; Belongs to the TUB family.
9685.ENSFCAP00000027375,LOC101092829,165,Transcription initiation factor TFIID subunit 10; TFIID is a multimeric protein complex that plays a central role in mediating promoter responses to various activators and repressors; Belongs to the TAF10 family.
9685.ENSFCAP00000027382,ARHGEF25,619,DH domain-containing protein.
9685.ENSFCAP00000027383,CLSPN,1327,Claspin.
9685.ENSFCAP00000027400,LOC101086557,276,Sulfotransferase; Belongs to the sulfotransferase 1 family.
9685.ENSFCAP00000027402,POLR3K,108,DNA-directed RNA polymerase subunit; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Belongs to the archaeal rpoM/eukaryotic RPA12/RPB9/RPC11 RNA polymerase family.
9685.ENSFCAP00000027410,FLT1,1338,Fms related tyrosine kinase 1; Belongs to the protein kinase superfamily. Tyr protein kinase family. CSF-1/PDGF receptor subfamily.
9685.ENSFCAP00000027413,SYT10,523,Synaptotagmin 10.
9685.ENSFCAP00000027415,TESK2,573,Testis associated actin remodelling kinase 2.
9685.ENSFCAP00000027416,UPF3B,485,UPF3B regulator of nonsense mediated mRNA decay.
9685.ENSFCAP00000027423,SEC61A2,476,SEC61 translocon alpha 2 subunit.
9685.ENSFCAP00000027428,CMTR1,835,Cap methyltransferase 1.
9685.ENSFCAP00000027439,OXTR,389,Oxytocin receptor; Receptor for oxytocin. The activity of this receptor is mediated by G proteins which activate a phosphatidylinositol-calcium second messenger system; Belongs to the G-protein coupled receptor 1 family. Vasopressin/oxytocin receptor subfamily.
9685.ENSFCAP00000027444,LOC101085573,96,Uncharacterized protein.
9685.ENSFCAP00000027447,KIF3A,723,Kinesin-like protein; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family.
9685.ENSFCAP00000027457,SCAND1,179,SCAN domain containing 1.
9685.ENSFCAP00000027459,FAM227A,496,Family with sequence similarity 227 member A.
9685.ENSFCAP00000027467,PADI3,664,Peptidyl arginine deiminase 3.
9685.ENSFCAP00000027470,ENSFCAP00000027470,166,Uncharacterized protein; Belongs to the universal ribosomal protein uL22 family.
9685.ENSFCAP00000027471,CHAT,641,Choline O-acetyltransferase; Belongs to the carnitine/choline acetyltransferase family.
9685.ENSFCAP00000027473,LCE3B,96,Late cornified envelope 3B.
9685.ENSFCAP00000027476,GADD45GIP1,222,GADD45G interacting protein 1.
9685.ENSFCAP00000027477,NKAIN2,208,Sodium/potassium transporting ATPase interacting 2.
9685.ENSFCAP00000027479,MTX3,312,Metaxin.
9685.ENSFCAP00000027480,HACE1,909,HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1.
9685.ENSFCAP00000027481,ZFP14,532,ZFP14 zinc finger protein.
9685.ENSFCAP00000027505,ST18,1082,ST18 C2H2C-type zinc finger transcription factor.
9685.ENSFCAP00000027507,KIFC3,1036,Kinesin family member C3; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family.
9685.ENSFCAP00000027508,EHD2,656,EH domain containing 2; Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin/Fzo/YdjA family.
9685.ENSFCAP00000027509,SRSF5,272,Serine and arginine rich splicing factor 5.
9685.ENSFCAP00000027520,LOC101092440,311,Olfactory receptor.
9685.ENSFCAP00000027521,S100A16,103,Protein S100; Belongs to the S-100 family.
9685.ENSFCAP00000027523,TIMM10,90,Translocase of inner mitochondrial membrane 10.
9685.ENSFCAP00000027525,ENSFCAP00000027525,105,Cytochrome c domain-containing protein; Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chain.
9685.ENSFCAP00000027527,ABCA8,1624,ATP binding cassette subfamily A member 8.
9685.ENSFCAP00000027536,TMEM170B,206,Transmembrane protein 170B.
9685.ENSFCAP00000027547,ZNF79,499,Zinc finger protein 79.
9685.ENSFCAP00000027555,LOC101085560,835,Uncharacterized protein.
9685.ENSFCAP00000027557,PHLDA3,125,Pleckstrin homology like domain family A member 3.
9685.ENSFCAP00000027564,INHBC,353,Inhibin subunit beta C.
9685.ENSFCAP00000027570,LCP1,657,Lymphocyte cytosolic protein 1.
9685.ENSFCAP00000027571,SPART,672,Spartin.
9685.ENSFCAP00000027580,MED11,117,Mediator of RNA polymerase II transcription subunit 11; Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene- specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors.
9685.ENSFCAP00000027582,LOC109498222,330,Uncharacterized protein; Belongs to the short-chain dehydrogenases/reductases (SDR) family.
9685.ENSFCAP00000027584,KISS1,142,KiSS-1 metastasis suppressor.
9685.ENSFCAP00000027587,ENSFCAP00000027587,66,Uncharacterized protein.
9685.ENSFCAP00000027588,HCFC1,2083,Host cell factor C1.
9685.ENSFCAP00000027600,POLR2J,117,RNA polymerase II subunit J.
9685.ENSFCAP00000027604,RNLS,342,Renalase, FAD dependent amine oxidase.
9685.ENSFCAP00000027615,VPS8,1471,VPS8 subunit of CORVET complex.
9685.ENSFCAP00000027619,DGCR8,773,DGCR8 microprocessor complex subunit.
9685.ENSFCAP00000027624,SLITRK6,868,SLIT and NTRK like family member 6.
9685.ENSFCAP00000027626,KIAA0040,99,KIAA0040.
9685.ENSFCAP00000027627,ENSFCAP00000027627,640,CKAP2_C domain-containing protein.
9685.ENSFCAP00000027629,TRBV12-5,120,T cell receptor beta variable 12-5.
9685.ENSFCAP00000027631,CRYGD,174,Crystallin gamma D; Belongs to the beta/gamma-crystallin family.
9685.ENSFCAP00000027639,ENSFCAP00000027639,163,Gp_dh_C domain-containing protein.
9685.ENSFCAP00000027640,TMEM241,296,Transmembrane protein 241.
9685.ENSFCAP00000027641,SIRT1,745,Sirtuin 1.
9685.ENSFCAP00000027644,MYBPC1,1139,Myosin binding protein C, slow type.
9685.ENSFCAP00000027645,DDX25,482,DEAD-box helicase 25.
9685.ENSFCAP00000027646,TMED1,227,Transmembrane p24 trafficking protein 1.
9685.ENSFCAP00000027648,FITM2,294,Fat storage inducing transmembrane protein 2.
9685.ENSFCAP00000027649,AQP2,271,Aquaporin 2; Belongs to the MIP/aquaporin (TC 1.A.8) family.
9685.ENSFCAP00000027650,TRABD,463,TraB domain containing.
9685.ENSFCAP00000027655,AZIN2,549,Antizyme inhibitor 2; Belongs to the Orn/Lys/Arg decarboxylase class-II family.
9685.ENSFCAP00000027656,SURF2,257,Surfeit 2.
9685.ENSFCAP00000027664,DUT,225,dUTPase domain-containing protein.
9685.ENSFCAP00000027665,ENSFCAP00000027665,1790,Uncharacterized protein.
9685.ENSFCAP00000027668,ENSFCAP00000027668,69,Uncharacterized protein.
9685.ENSFCAP00000027670,FAM207A,284,Family with sequence similarity 207 member A.
9685.ENSFCAP00000027673,ENSFCAP00000027673,304,Olfactory receptor.
9685.ENSFCAP00000027676,SLC4A7,1258,Anion exchange protein.
9685.ENSFCAP00000027678,ENSFCAP00000027678,92,Uncharacterized protein.
9685.ENSFCAP00000027694,LAPTM4B,337,Lysosomal protein transmembrane 4 beta.
9685.ENSFCAP00000027695,F13A1,787,Coagulation factor XIII A chain.
9685.ENSFCAP00000027697,MMADHC,296,Metabolism of cobalamin associated D.
9685.ENSFCAP00000027708,DDX17,729,DEAD-box helicase 17; Belongs to the DEAD box helicase family.
9685.ENSFCAP00000027709,MYH14,2039,Myosin heavy chain 14; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family.
9685.ENSFCAP00000027720,BCORL1,1786,BCL6 corepressor like 1.
9685.ENSFCAP00000027724,IQCE,592,IQ motif containing E.
9685.ENSFCAP00000027729,ENSFCAP00000027729,125,Ig-like domain-containing protein.
9685.ENSFCAP00000027731,CBX3,183,Uncharacterized protein.
9685.ENSFCAP00000027734,MAP7D2,792,MAP7 domain containing 2.
9685.ENSFCAP00000027735,CHORDC1,332,Uncharacterized protein.
9685.ENSFCAP00000027743,DDX46,1031,Uncharacterized protein.
9685.ENSFCAP00000027745,VWC2L,232,Von Willebrand factor C domain containing 2 like.
9685.ENSFCAP00000027746,ARHGEF33,921,Rho guanine nucleotide exchange factor 33.
9685.ENSFCAP00000027747,ASF1A,204,Anti-silencing function 1A histone chaperone.
9685.ENSFCAP00000027750,C1QTNF4,98,C1q domain-containing protein.
9685.ENSFCAP00000027751,HOXA4,326,Homeobox A4.
9685.ENSFCAP00000027754,ST3GAL1,317,ST3 beta-galactoside alpha-2,3-sialyltransferase 1; Belongs to the glycosyltransferase 29 family.
9685.ENSFCAP00000027755,GPR158,1203,G protein-coupled receptor 158.
9685.ENSFCAP00000027764,SMARCAD1,1023,Uncharacterized protein.
9685.ENSFCAP00000027774,WDR70,655,WD repeat domain 70.
9685.ENSFCAP00000027779,PURB,303,Purine rich element binding protein B.
9685.ENSFCAP00000027781,PPEF1,660,Serine/threonine-protein phosphatase with EF-hands.
9685.ENSFCAP00000027788,METTL7B,244,Methyltransferase like 7B.
